n, Tiempo_Final(s)
1000,0.00270943
2000,0.01104582
3000,0.02526118
4000,0.04519246
5000,0.07610100
6000,0.11111964
7000,0.14826032
8000,0.19337718
9000,0.24900429
10000,0.31016121
11000,0.37822536
12000,0.45886993
13000,0.56971307
14000,0.66348775
15000,0.73717993
16000,0.87956354
17000,0.94728329
18000,1.05750304
19000,1.18040257
20000,1.31295646
21000,1.45197486
22000,1.63257679
23000,1.75114961
24000,1.91116886
25000,2.07472193
26000,2.25386525
27000,2.54480232
28000,2.77308689
29000,2.87234536
30000,3.01746018
31000,3.22701579
32000,3.43395146
33000,3.66001568
34000,3.88771989
35000,4.12580182
36000,4.36807225
37000,4.63062111
38000,4.89643107
39000,5.17525950
40000,5.52740418
41000,5.78280496
42000,6.07448761
43000,6.29372050
44000,6.59446150
45000,6.91196039
46000,7.22757536
47000,7.55517300
48000,7.87274675
49000,8.21161200
50000,8.55480161
51000,8.86289461
52000,9.33579450
53000,9.65270464
54000,10.02458157
55000,10.40777321
56000,10.72051929
57000,11.21679668
58000,11.57508207
59000,11.97834639
60000,12.40265218
61000,12.82039704
62000,13.25454632
63000,13.72317229
64000,14.20796921
65000,14.72408429
66000,15.17072682
67000,15.76842500
68000,15.93591261
69000,16.39587029
70000,16.88659989
71000,17.50041832
72000,18.01270396
73000,18.54441218
74000,19.02918429
75000,19.52797214
76000,20.15484011
77000,20.45385071
78000,20.98187071
79000,21.57815243
80000,22.65469604
81000,22.64890575
82000,23.21324589
83000,23.79544671
84000,24.39659386
85000,25.04376986
86000,25.76168025
87000,26.36058575
88000,26.99656507
89000,27.50018975
90000,28.04555386
91000,28.81415807
92000,29.33252296
93000,29.99055154
94000,30.62830250
95000,31.32370439
96000,31.97834100
97000,33.30975207
98000,33.30007843
99000,34.00151839
100000,35.08178339
