n, Tiempo_Final(s)
1000, 0.00181914
2000, 0.00618271
3000, 0.01271875
4000, 0.02305264
5000, 0.03475218
6000, 0.04887664
7000, 0.06647243
8000, 0.09288957
9000, 0.11508607
10000, 0.13874886
11000, 0.15955779
12000, 0.18905921
13000, 0.22180600
14000, 0.25787986
15000, 0.29645193
16000, 0.33558139
17000, 0.37856318
18000, 0.42654786
19000, 0.47247207
20000, 0.54293461
21000, 0.57811043
22000, 0.63352721
23000, 0.69135075
24000, 0.75504043
25000, 0.81815604
26000, 0.88307704
27000, 0.95321050
28000, 1.02428936
29000, 1.09908664
30000, 1.18522596
31000, 1.25777764
32000, 1.34180793
33000, 1.43949425
34000, 1.51479754
35000, 1.60034936
36000, 1.69566311
37000, 1.78791329
38000, 1.88514579
39000, 1.98564546
40000, 2.08828175
41000, 2.21493354
42000, 2.30419975
43000, 2.41475075
44000, 2.52756304
45000, 2.64258089
46000, 2.75630257
47000, 2.87945564
48000, 2.99863482
49000, 3.13287882
50000, 3.24974071
51000, 3.38255718
52000, 3.61766404
53000, 3.75207086
54000, 3.80477704
55000, 3.95586654
56000, 4.09794482
57000, 4.24219768
58000, 4.38945111
59000, 4.56228379
60000, 4.70291214
61000, 4.85654471
62000, 5.01898150
63000, 5.20125714
64000, 5.36062264
65000, 5.52197929
66000, 5.69981004
67000, 5.87397293
68000, 6.04202939
69000, 6.21279982
70000, 6.40177096
71000, 6.58089639
72000, 6.77627889
73000, 6.96395364
74000, 7.17238521
75000, 7.52270900
76000, 7.62515414
77000, 7.84185525
78000, 8.14441218
79000, 8.46323246
80000, 8.67985214
81000, 8.81078586
82000, 9.04983968
83000, 9.28609846
84000, 9.30453961
85000, 9.55478743
86000, 9.76518854
87000, 9.98841393
88000, 10.19903339
89000, 10.43143129
90000, 10.65642300
91000, 10.87247204
92000, 11.27431207
93000, 11.34179607
94000, 11.57761129
95000, 11.83057043
96000, 12.08270946
97000, 12.34052343
98000, 12.58433143
99000, 12.84158868
100000, 13.11010264
