n, Tiempo_Final(s)
1000, 0.00237593
2000, 0.00879843
3000, 0.01892829
4000, 0.03486543
5000, 0.05514379
6000, 0.07580064
7000, 0.10190346
8000, 0.13335514
9000, 0.17219689
10000, 0.20888136
11000, 0.24690589
12000, 0.29435971
13000, 0.34458904
14000, 0.39950836
15000, 0.46085443
16000, 0.52188382
17000, 0.59125682
18000, 0.66257139
19000, 0.74919696
20000, 0.81589511
21000, 0.89808775
22000, 0.98562218
23000, 1.07657811
24000, 1.17558004
25000, 1.28801214
26000, 1.37822529
27000, 1.48644164
28000, 1.59802261
29000, 1.71742896
30000, 1.83742157
31000, 1.96259146
32000, 2.08825296
33000, 2.23282168
34000, 2.39185800
35000, 2.68251293
36000, 2.74391471
37000, 2.91509136
38000, 3.11527400
39000, 3.25206232
40000, 3.35408686
41000, 3.54756425
42000, 3.89637468
43000, 3.96618136
44000, 4.16624943
45000, 4.32866707
46000, 4.50839668
47000, 4.78518696
48000, 4.93297900
49000, 4.99422782
50000, 5.29023236
51000, 5.34008943
52000, 5.58406396
53000, 5.91754139
54000, 6.00296779
55000, 6.43533289
56000, 6.66848889
57000, 6.98296154
58000, 7.13139161
59000, 7.27753286
60000, 7.41360979
61000, 8.01251171
62000, 8.24457550
63000, 8.59174957
64000, 8.66983325
65000, 9.02842268
66000, 9.13175068
67000, 9.19685025
68000, 9.47435361
69000, 9.73536979
70000, 10.02681304
71000, 10.31085711
72000, 10.60081329
73000, 10.97400839
74000, 11.25446132
75000, 11.51081971
76000, 11.86035093
77000, 12.29125925
78000, 12.41243729
79000, 12.71303614
80000, 13.07495379
81000, 13.38717386
82000, 13.71532614
83000, 14.06634261
84000, 14.34225407
85000, 14.69582461
86000, 15.11086075
87000, 15.49109400
88000, 15.79463607
89000, 16.13310886
90000, 16.78324339
91000, 16.92604629
92000, 17.24101286
93000, 17.66823504
94000, 18.03911150
95000, 18.46362418
96000, 18.82732532
97000, 19.20667082
98000, 19.64591457
99000, 20.03924786
100000, 20.45784207
