n, Tiempo_Final(s)
1000, 0.00476793
2000, 0.02007993
3000, 0.05192504
4000, 0.09178304
5000, 0.14211450
6000, 0.20597982
7000, 0.28633411
8000, 0.36845204
9000, 0.48804875
10000, 0.54528850
11000, 0.67796593
12000, 0.90009846
13000, 0.95116607
14000, 1.07798518
15000, 1.24138161
16000, 1.41045682
17000, 1.59299332
18000, 1.79418325
19000, 2.00404911
20000, 2.33307621
21000, 2.58585032
22000, 2.83567257
23000, 3.04514618
24000, 3.38042443
25000, 3.54634500
26000, 3.75107732
27000, 4.04816279
28000, 4.56437029
29000, 4.67357332
30000, 4.99992854
31000, 5.33766225
32000, 5.69663450
33000, 6.06091746
34000, 6.42678950
35000, 6.81692589
36000, 7.19520139
37000, 7.66172996
38000, 8.13748982
39000, 8.48805146
40000, 8.95268861
41000, 9.40381775
42000, 9.83881021
43000, 10.31186632
44000, 10.76305343
45000, 11.33483043
46000, 11.81440207
47000, 12.33836782
48000, 12.84111629
49000, 13.43040946
50000, 14.00803679
51000, 14.55441725
52000, 15.10529429
53000, 15.73831432
54000, 16.32964604
55000, 16.97679879
56000, 17.74070314
57000, 18.16694075
58000, 18.78088071
59000, 19.45479454
60000, 20.13751332
61000, 20.81811525
62000, 21.49504757
63000, 22.19772218
64000, 22.88785614
65000, 23.61795686
66000, 24.41050614
67000, 25.71189154
68000, 25.85035461
69000, 26.57773400
70000, 27.30801146
71000, 28.10183346
72000, 28.89710196
73000, 29.88418696
74000, 30.67148968
75000, 31.46723289
76000, 32.28227893
77000, 33.47928914
78000, 34.63034714
79000, 36.04488775
80000, 37.40673561
81000, 37.94541529
82000, 39.17701407
83000, 40.14383618
84000, 41.02925461
85000, 41.75953586
86000, 42.97303825
87000, 43.95667179
88000, 45.03057361
89000, 47.40713954
90000, 49.54103721
91000, 49.97528714
92000, 50.93838911
93000, 51.63117850
94000, 52.44504232
95000, 54.85461161
96000, 55.51854650
97000, 55.97804118
98000, 56.91498311
99000, 57.10182461
100000, 58.31693086
